id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,gender_dom,relevant_wagedif_norm,wage_sign,wagegap
30,955,,,,,,,,,0
30.22,175,,,,,,,,,0
30.29,76,,,,,,,,,0
30.32,70,,,,,,,,,0
30.48,71,,,,,,,,,0
31,4710,,,,,,,,,0
31.15,188,,,,,,,,,0
31.17,157,,,,,,,,,0
31.20,81,,,,,,,,,0
31.21,231,,,,,,,,,0
31.23,298,,,,,,,,,0
31.24,167,,,,,,,,,0
31.26,58,,,,,,,,,0
31.29,803,,,,,,,,,0
31.29.21,92,,,,,,,,,0
31.29.31,69,,,,,,,,,0
31.29.32,109,,,,,,,,,0
31.32,597,,,,,,,,,0
31.32.29,101,,,,,,,,,0
31.32.31,73,,,,,,,,,0
31.33,273,,,,,,,,,0
31.34,266,,,,,,,,,0
31.35,131,,,,,,,,,0
31.48,264,,,,,,,,,0
32,9049,,,,,,,,,0
32.15,449,,,,,,,,,0
32.15.32,76,,,,,,,,,0
32.17,213,,,,,,,,,0
32.20,183,,,,,,,,,0
32.21,482,,,,,,,,,0
32.21.29,113,,,,,,,,,0
32.22,74,,,,,,,,,0
32.23,299,,,,,,,,,0
32.24,310,,,,,,,,,0
32.26,269,,,,,,,,,0
32.26.32,76,,,,,,,,,0
32.27,62,,,,,,,,,0
32.28,97,,,,,,,,,0
32.29,1758,,,,,,,,,0
