id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,noi_honap,ffi_honap,gender_dom,relevant_wagedif_norm,wage_sign,wagegap,tenure_dif
0.48.35.48,5,1,4,-217.2691,485.02466,217.98958,9,27.5,1,0,0,0,1
0.48.36,14,1,12,350.02179,1696.1199,2648.6697,2,5.6666665,1,0,1,1,1
0.48.36.48,6,0,6,-702.10535,,528.38446,,10.333333,1,0,0,,
0.48.36.48.15,5,0,5,69.403458,,5414.8535,,1,1,0,1,,
0.48.38,9,3,5,-77.228249,2286.3052,458.52908,2.3333333,33,1,0,0,0,1
0.48.39,14,6,8,88.115608,1640.3871,1074.7692,6,13.5,0,0,1,0,1
0.48.39.48,5,2,3,212.26526,851.28845,718.87897,5,16,1,0,1,0,1
0.48.40,32,2,30,1608.6979,679.74945,1135.1036,17,19.566668,1,1,1,1,1
0.48.40.15,6,0,6,88.611847,,13402.501,,1,1,0,1,,
0.48.40.34,5,1,4,368.3418,424.16843,3745.8323,22,7,1,0,1,1,0
0.48.40.48,7,0,7,240.91606,,960.62933,,13.285714,1,0,1,,
0.48.42,24,0,24,650.98236,,1970.302,,14.958333,1,1,1,,
0.48.42.15,6,0,6,38.896378,,9652.4131,,1,1,0,1,,
0.48.42.48,8,0,8,-72.014061,,2155.4146,,10.375,1,0,0,,
0.48.43,7,0,7,432.30582,,2226.115,,13.285714,1,0,1,,
0.48.44,46,7,39,1108.2272,2650.9827,1678.3596,4.4285712,17.307692,1,1,1,0,1
0.48.44.15,14,2,12,54.094429,3476.7805,8960.2813,1,1,1,0,1,1,0
0.48.44.45,5,1,4,34.332417,785.23737,1708.1538,8,3.75,1,0,1,1,0
0.48.44.48,14,2,12,-391.71695,3548.9597,1334.5293,2.5,6.8333335,1,0,0,0,1
0.48.45,41,11,30,761.42664,1831.5164,1417.933,15.545455,11.666667,1,1,1,0,0
0.48.45.15,11,2,9,2651.5813,16564.621,11096.073,1,1,1,1,1,0,0
0.48.45.34,8,5,3,151.99397,436.97812,1454.2686,18.4,6.6666665,2,0,1,1,0
0.48.45.44,6,1,5,223.7012,3503.2742,557.53717,1,21.799999,1,0,1,0,1
0.48.45.48,7,1,6,-529.41351,412.96234,799.35577,19,10.333333,1,0,0,1,0
0.48.46,11,2,9,940.47546,195.74777,643.13843,19.5,24.444445,1,1,1,1,1
0.48.47,24,1,23,104.44948,3385.9836,1246.5073,1,17.304348,1,0,1,0,1
0.48.47.15,6,0,6,225.94719,,10300.474,,1,1,0,1,,
0.48.47.48,6,0,6,-13.847731,,1170.3203,,15.833333,1,0,0,,
0.48.50,20,2,17,-383.43027,2540.5913,878.26312,3,9.7647057,1,0,0,0,1
0.48.50.15,7,2,4,392.84595,7790.3223,11522.135,1,1,1,0,1,1,0
0.50,58,17,40,,918.29803,512.76007,11.470589,17.424999,1,,,0,1
0.50.15,18,5,13,205.04286,5431.2588,7681.4575,1,1,1,0,1,1,0
0.50.33,5,4,1,749.88361,740.61005,176.41078,28.25,28,2,1,1,0,0
